kÛd obce,n·zev obce,voliËi v seznamu,vydanÈ ob·lky,platnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
564061,Hodkovice nad Mohelkou,2†251,1†416,1†408,124,2,0,86,144,96,23,16,11,0,0,173,0,48,481,0,5,24,1,10,2,0,160,2
564079,HornÌ ÿasnice,184,99,99,2,0,1,8,26,14,1,1,0,0,1,6,0,3,24,1,2,0,0,0,0,0,9,0
564095,Hr·dek nad Nisou,6†087,3†449,3†432,164,4,1,136,982,270,25,21,30,4,2,197,2,36,1†049,1,11,29,1,29,0,4,427,7
564109,ChotynÏ,782,466,464,18,0,0,15,142,33,3,3,6,0,1,25,1,9,146,1,0,3,0,3,0,0,55,0
564117,Chrastava,4†913,2†836,2†816,195,16,1,152,625,178,17,24,36,5,5,263,1,56,843,3,9,27,1,9,0,10,333,7
561631,JablonnÈ v PodjeötÏdÌ,2†901,1†666,1†652,114,5,0,104,218,147,13,15,11,1,2,163,0,47,589,0,3,30,2,9,8,6,157,8
561657,Janovice v PodjeötÏdÌ,85,66,65,0,0,0,2,10,6,0,0,0,0,0,5,0,0,31,0,0,2,0,0,0,0,9,0
546658,Jan˘v D˘l,130,98,98,15,0,0,4,19,5,0,3,0,0,0,7,0,1,33,0,0,3,1,0,1,0,4,2
530484,Je¯manice,395,259,257,23,0,0,5,43,7,8,2,2,1,0,31,0,19,89,0,1,1,0,1,1,1,22,0
564133,Jind¯ichovice pod Smrkem,527,275,274,15,0,0,7,109,31,6,0,3,0,0,22,0,6,48,0,0,3,0,4,1,0,19,0
564141,Kobyly,285,194,192,11,0,0,16,41,5,2,2,6,0,0,21,1,2,53,0,3,0,0,1,0,1,26,1
564168,Kr·sn˝ Les,390,234,232,19,0,0,13,45,17,3,4,2,0,0,13,0,11,60,0,0,4,0,0,0,0,41,0
564176,Kryötofovo ⁄dolÌ,272,215,215,20,0,0,7,37,4,3,1,4,0,0,26,0,16,59,0,1,2,0,3,0,1,31,0
564184,K¯iûany,673,400,397,43,0,0,20,49,28,7,1,5,0,0,30,1,8,146,0,0,2,0,4,0,1,52,0
530433,Kunratice,298,181,179,3,5,0,13,50,17,0,1,0,0,0,4,0,0,48,0,2,2,0,0,0,2,32,0
564206,L·znÏ Libverda,423,270,268,22,0,0,19,23,22,2,1,2,0,0,25,0,9,93,2,1,12,0,2,0,0,33,0
545937,Laûany,185,134,129,16,0,0,21,11,16,2,2,0,0,0,18,0,2,28,0,0,2,0,0,0,1,10,0
563889,Liberec,80†049,49†238,48†915,5†013,69,59,2†708,6†075,2†363,943,292,811,32,172,6†068,27,2†699,15†135,66,80,890,24,347,88,42,4†790,122
564231,MnÌöek,1†170,740,733,87,1,2,38,111,62,10,1,7,0,1,68,1,43,179,0,0,11,0,4,2,5,99,1
546593,Nov· Ves,696,379,378,30,0,0,12,44,27,4,5,10,1,2,31,0,9,138,0,3,2,0,3,3,0,53,1
564265,NovÈ MÏsto pod Smrkem,2†959,1†387,1†377,122,2,0,98,152,162,13,13,15,1,1,83,0,24,477,0,5,16,0,11,0,5,173,4
564281,Old¯ichov v H·jÌch,564,362,360,18,1,2,14,47,19,12,6,4,0,0,39,0,31,111,0,1,5,0,2,2,0,46,0
564290,OseËn·,920,596,591,37,3,0,73,57,49,6,2,13,1,0,51,0,13,204,0,0,10,0,6,1,0,64,1
545953,Pace¯ice,261,184,183,13,0,0,14,41,15,1,3,2,0,0,16,0,10,42,1,3,1,0,4,0,0,17,0
564303,PÏnËÌn,536,431,431,45,1,1,28,54,31,7,2,14,0,0,34,0,26,118,2,0,6,0,2,1,4,52,3
564311,Pertoltice,223,107,106,9,0,0,3,17,19,1,2,4,0,0,4,0,1,33,0,3,1,0,0,0,0,8,1
544345,ProseË pod JeötÏdem,300,217,216,17,0,0,10,24,19,1,2,5,0,1,32,1,6,64,0,0,3,0,2,2,0,27,0
564354,P¯Ìöovice,1†030,654,645,68,0,0,40,69,45,5,7,4,0,1,60,0,22,214,1,4,6,0,2,0,0,95,2
544582,Radimovice,252,192,192,31,0,0,6,35,5,0,1,4,1,1,32,0,10,48,0,0,5,0,0,0,0,12,1
564371,Raspenava,2†288,1†202,1†195,71,2,0,79,154,113,14,2,13,0,2,80,0,33,410,0,8,21,1,1,7,7,171,6
564397,Rynoltice,636,387,386,26,2,1,11,74,45,4,7,5,0,0,44,2,18,93,1,4,5,0,1,0,1,42,0
564401,SobÏslavice,128,83,83,17,0,0,4,7,0,2,0,8,0,0,12,0,6,16,0,0,0,0,0,0,0,10,1
544477,Str·û nad Nisou,1†807,1†222,1†215,135,5,2,53,166,65,18,11,26,1,7,126,0,55,392,3,1,19,0,10,3,1,113,3
564427,SvÏtl· pod JeötÏdem,769,549,545,59,0,2,11,85,26,7,7,9,0,1,78,0,34,165,0,0,16,0,2,2,0,41,0
564435,Svijansk˝ ⁄jezd,344,237,237,28,0,0,22,30,10,1,2,3,0,0,32,0,10,51,0,0,0,0,0,1,1,41,5
564443,Svijany,244,159,158,19,0,0,14,29,3,1,0,4,0,0,9,0,4,56,0,1,2,0,1,0,0,15,0
564451,Sychrov,167,108,106,16,0,0,3,34,1,2,0,0,1,0,13,0,5,21,0,0,1,0,0,0,0,9,0
564460,äimonovice,850,627,625,99,0,0,30,102,20,10,2,12,0,1,72,1,49,149,0,2,12,0,5,2,0,54,3
564494,ViöÚov·,1†102,598,591,40,1,0,42,91,96,2,4,1,1,0,31,0,5,197,0,1,5,0,1,0,0,73,0
564516,Vlastibo¯ice,257,193,193,20,2,0,8,24,12,2,10,5,0,0,28,0,8,53,0,0,2,0,1,1,1,16,0
564532,Vöelibice,465,290,289,22,0,0,22,20,30,2,2,2,1,0,33,0,7,109,0,0,4,0,0,1,0,34,0
564541,Zdislava,228,131,126,8,0,0,10,18,8,1,0,0,0,0,12,0,4,44,0,2,6,1,2,1,0,9,0
544604,éÔ·rek,128,87,87,17,0,0,2,15,3,2,0,0,0,0,21,0,3,20,0,0,0,0,0,0,0,4,0
